epoch,loss,val_loss
0,0.17814948243856429,0.12927587020397185
1,0.066310347890555857,0.058966132730245591
2,0.042091897878199815,0.052010913610458377
3,0.038324405999183651,0.049732103109359743
4,0.037114608606696131,0.048968120843172071
5,0.036312650749385354,0.047571223676204678
6,0.034917897908687594,0.043181974500417712
7,0.027574243774861097,0.031283552885055542
8,0.022151530509740114,0.024976032018661498
9,0.016905858131200074,0.021712393313646317
10,0.015181674387007951,0.019702154651284217
11,0.014158951814770698,0.017848138794302939
12,0.01333893565222621,0.018619632557034492
13,0.012689723291024566,0.017867379486560822
14,0.012201928420886398,0.015236583605408669
15,0.01175955981478095,0.015497621104121208
16,0.011413807016164065,0.01518895548582077
17,0.011126833313032984,0.014192737698554992
18,0.010865701356530189,0.015820265613496302
19,0.010671258218437433,0.01438574530929327
